title,artist,top genre,year,length
Blinding Lights,The Weeknd,canadian contemporary r&b,2020,200
Watermelon Sugar,Harry Styles,pop,2019,174
Mood (feat. iann dior),24kGoldn,cali rap,2021,141
Someone You Loved,Lewis Capaldi,pop,2019,182
Perfect,Ed Sheeran,pop,2017,263
Believer,Imagine Dragons,modern rock,2017,204
lovely (with Khalid),Billie Eilish,electropop,2018,200
Circles,Post Malone,dfw rap,2019,215
Shape of You,Ed Sheeran,pop,2017,234
Memories,Maroon 5,pop,2021,189
Closer,The Chainsmokers,dance pop,2016,245
bad guy,Billie Eilish,electropop,2019,194
Say You Won't Let Go,James Arthur,pop,2016,211
Lucid Dreams,Juice WRLD,chicago rap,2018,240
All of Me,John Legend,neo soul,2013,270
7 rings,Ariana Grande,dance pop,2019,179
Jocelyn Flores,XXXTENTACION,emo rap,2017,119
goosebumps,Travis Scott,rap,2016,244
Wake Me Up,Avicii,dance pop,2013,247
ROCKSTAR (feat. Roddy Ricch),DaBaby,north carolina hip hop,2020,182
rockstar (feat. 21 Savage),Post Malone,dfw rap,2018,218
Photograph,Ed Sheeran,pop,2014,259
SAD!,XXXTENTACION,emo rap,2018,167
SICKO MODE,Travis Scott,rap,2018,313
Stressed Out,Twenty One Pilots,modern rock,2015,202
Roses - Imanbek Remix,SAINt JHN,melodic rap,2019,177
The Box,Roddy Ricch,melodic rap,2019,197
The Hills,The Weeknd,canadian contemporary r&b,2015,242
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,dfw rap,2018,158
Thinking out Loud,Ed Sheeran,pop,2014,282
Starboy,The Weeknd,canadian contemporary r&b,2016,230
Love Yourself,Justin Bieber,canadian pop,2015,234
Something Just Like This,The Chainsmokers,dance pop,2017,247
Shallow,Lady Gaga,dance pop,2018,216
Thunder,Imagine Dragons,modern rock,2017,187
XO Tour Llif3,Lil Uzi Vert,melodic rap,2017,183
Take Me To Church,Hozier,irish singer-songwriter,2014,242
Happier,Marshmello,brostep,2018,214
"thank u, next",Ariana Grande,dance pop,2019,207
Counting Stars,OneRepublic,dance pop,2013,257
Can't Hold Us - feat. Ray Dalton,Macklemore & Ryan Lewis,pop rap,2012,258
Señorita,Shawn Mendes,canadian pop,2019,191
God's Plan,Drake,canadian hip hop,2018,199
Don't Start Now,Dua Lipa,dance pop,2020,183
Bohemian Rhapsody - Remastered 2011,Queen,classic rock,1975,354
HUMBLE.,Kendrick Lamar,conscious hip hop,2017,177
Let Me Love You,DJ Snake,dance pop,2016,206
Congratulations,Post Malone,dfw rap,2016,220
Stay With Me,Sam Smith,dance pop,2014,173
Treat You Better,Shawn Mendes,canadian pop,2017,188
Uptown Funk (feat. Bruno Mars),Mark Ronson,dance pop,2015,270
I Like Me Better,Lauv,dance pop,2018,197
when the party's over,Billie Eilish,electropop,2019,196
Mr. Brightside,The Killers,alternative rock,2004,223
Dance Monkey,Tones And I,australian pop,2019,209
Havana (feat. Young Thug),Camila Cabello,dance pop,2018,217
Better Now,Post Malone,dfw rap,2018,231
I Don't Care (with Justin Bieber),Ed Sheeran,pop,2019,220
Unforgettable,French Montana,gangster rap,2017,234
Too Good At Goodbyes,Sam Smith,dance pop,2017,201
Riptide,Vance Joy,folk-pop,2014,204
That's What I Like,Bruno Mars,dance pop,2016,207
See You Again (feat. Charlie Puth),Wiz Khalifa,dance pop,2015,230
One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,215
Heathens,Twenty One Pilots,modern rock,2016,196
Demons,Imagine Dragons,modern rock,2012,178
Youngblood,5 Seconds of Summer,boy band,2018,203
Old Town Road - Remix,Lil Nas X,lgbtq+ hip hop,2019,157
I'm Yours,Jason Mraz,acoustic pop,2008,242
Attention,Charlie Puth,dance pop,2018,209
New Rules,Dua Lipa,dance pop,2017,209
Sorry,Justin Bieber,canadian pop,2015,201
Don't Let Me Down,The Chainsmokers,dance pop,2016,208
7 Years,Lukas Graham,danish pop,2016,237
I Like It,Cardi B,dance pop,2018,253
I Fall Apart,Post Malone,dfw rap,2016,223
We Don't Talk Anymore (feat. Selena Gomez),Charlie Puth,dance pop,2016,218
Can't Feel My Face,The Weeknd,canadian contemporary r&b,2015,214
Despacito,Luis Fonsi,latin,2019,229
Psycho (feat. Ty Dolla $ign),Post Malone,dfw rap,2018,221
Stitches,Shawn Mendes,canadian pop,2015,207
What Do You Mean?,Justin Bieber,canadian pop,2015,206
Wonderwall - Remastered,Oasis,beatlesque,1995,259
Radioactive,Imagine Dragons,modern rock,2012,187
Eastside (with Halsey & Khalid),benny blanco,electropop,2018,174
Cheerleader - Felix Jaehn Remix Radio Edit,OMI,dance pop,2015,181
Cheap Thrills,Sia,australian dance,2016,212
Girls Like You (feat. Cardi B) - Cardi B Version,Maroon 5,pop,2018,236
Faded,Alan Walker,electro house,2015,213
Let Her Go,Passenger,folk-pop,2013,253
"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",Justin Timberlake,dance pop,2016,238
Lean On,Major Lazer,dance pop,2015,177
Despacito - Remix,Luis Fonsi,latin,2019,230
Lose Yourself,Eminem,detroit hip hop,2014,321
Without Me (with Juice WRLD),Halsey,dance pop,2019,229
One Dance,Drake,canadian hip hop,2016,174
Sugar,Maroon 5,pop,2015,235
Emotions,Mark Mendy,pop dance,2021,172
Cold Water,Major Lazer,dance pop,2018,185
I Took A Pill In Ibiza - Seeb Remix,Mike Posner,dance pop,2016,198
